IATA,ICAO,Model
100,F100,Fokker 100
141,B461,BAe 146-100
142,B462,BAe 146-200
143,B463,BAe 146-300
221,BCS1,Airbus A220-100
223,BCS3,Airbus A220-300
290,E290,Embraer E190-E2
295,E295,Embraer E195-E2
312,A310,Airbus A310-200
313,A310,Airbus A310-300
318,A318,Airbus A318
319,A319,Airbus A319
320,A320,Airbus A320
321,A321,Airbus A321
332,A332,Airbus A330-200
333,A333,Airbus A330-300
337,A337,"Airbus A330-700 ""Beluga XL"""
338,A338,Airbus A330-800neo
339,A339,Airbus A330-900neo
342,A342,Airbus A340-200
343,A343,Airbus A340-300
345,A345,Airbus A340-500
346,A346,Airbus A340-600
351,A35K,Airbus A350-1000
359,A359,Airbus A350-900
388,A388,Airbus A380-800
703,B703,Boeing 707
717,B712,Boeing 717
721,B721,Boeing 727-100
722,B722,Boeing 727-200
732,B732,Boeing 737-200
733,B733,Boeing 737-300
734,B734,Boeing 737-400
735,B735,Boeing 737-500
736,B736,Boeing 737-600
738,B738,Boeing 737-800
739,B739,Boeing 737-900
741,B741,Boeing 747-100
742,B742,Boeing 747-200
743,B743,Boeing 747-300
744,B744,Boeing 747-400
752,B752,Boeing 757-200
753,B753,Boeing 757-300
762,B762,Boeing 767-200
763,B763,Boeing 767-300
764,B764,Boeing 767-400ER
772,B772,Boeing 777-200 / Boeing 777-200ER
773,B773,Boeing 777-300
778,B778,Boeing 777-8
779,B779,Boeing 777-9
781,B78X,Boeing 787-10
788,B788,Boeing 787-8
789,B789,Boeing 787-9
31N,A19N,Airbus A319neo
32A,A320,Airbus A320 (sharklets)
32B,A321,Airbus A321 (sharklets)
32C,A318,Airbus A318 (sharklets)
32D,A319,Airbus A319 (sharklets)
32N,A20N,Airbus A320neo
32Q,A21N,Airbus A321neo
73G,B737,Boeing 737-700
74B,BLCF,Boeing 747 LCF Dreamlifter
74C,B742,Boeing 747-200M
74D,B743,Boeing 747-300M
74E,B744,Boeing 747-400M
74H,B748,Boeing 747-8I
74J,B74D,Boeing 747-400D
74L,B74S,Boeing 747SP
74N,B748,Boeing 747-8F
74R,B74R,Boeing 747SR
74T,B741,Boeing 747-100 Freighter
74V,B74R,Boeing 747SR Freighter
74X,B742,Boeing 747-200F
74Y,B744,Boeing 747-400F
75F,B752,Boeing 757F
77L,B77L,Boeing 777-200LR
77W,B77W,Boeing 777-300ER
77X,B77L,Boeing 777-200 Freighter
7M7,B37M,Boeing 737 MAX 7
7M8,B38M,Boeing 737 MAX 8
7M9,B39M,Boeing 737 MAX 9
7MJ,B3XM,Boeing 737 MAX 10
A26,AN26,Antonov AN-26
A28,AN28,Antonov AN-28
A30,AN30,Antonov AN-30
A32,AN32,Antonov AN-32
A40,A140,Antonov AN-140
A4F,A124,Antonov AN-124 Ruslan
A58,A158,Antonov An-158
A5F,A225,Antonov An-225 Mriya
A81,A148,Antonov An-148
AB4,A30B,"Airbus A300B2, A300B4, and A300C4"
AB6,A306,Airbus A300-600
ABB,A3ST,"Airbus A300-600ST Super Transporter ""Beluga"""
ACP,AC68,Gulfstream/Rockwell (Aero) Commander
ACT,AC90,Gulfstream/Rockwell (Aero) Turbo Commander
AN4,AN24,Antonov AN-24
AN7,AN72,Antonov AN-72 / AN-74
ANF,AN12,Antonov AN-12
APH,AS32,Eurocopter AS332 Super Puma
AR1,RJ1H,Avro RJ100
AR7,RJ70,Avro RJ70
AR8,RJ85,Avro RJ85
AT4,AT43,Aerospatiale/Alenia ATR 42-300 / 320
AT5,AT45,Aerospatiale/Alenia ATR 42-500
AT7,AT72,Aerospatiale/Alenia ATR 72
ATL,ATL,Robin ATL
ATP,ATP,British Aerospace ATP
ATR,AT46,Aerospatiale/Alenia ATR 42-600
ATR,AT73,Aerospatiale/Alenia ATR 72-200 series
ATR,AT75,Aerospatiale/Alenia ATR 72-500
ATR,AT76,Aerospatiale/Alenia ATR 72-600
B11,BA11,British Aerospace (BAC) One Eleven
B72,B720,Boeing 720B
BEH,B190,Beechcraft 1900
BH2,B212,Bell 212
BH2,B412,Bell 412
BH2,B429,Bell 429
BNI,BN2P,Pilatus Britten-Norman BN-2A/B Islander
BNT,TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander
CCJ,CL60,Canadair Challenger
CCX,GL5T,Bombardier BD-700 Global 5000
CCX,GLEX,Bombardier Global Express / Raytheon Sentinel
CD2,NOMA,Government Aircraft Factories N22B / N24A Nomad
CN1,C162,Cessna 162
CN1,C172,Cessna 172
CN1,C182,Cessna 182 Skylane
CN1,C206,Cessna 206 Stationair
CN1,C208,Cessna 208 Caravan
CN1,C210,Cessna 210 Centurion
CN1,C72R,Cessna 172 Cutlass RG
CN1,C77R,Cessna 177 Cardinal RG
CNJ,C25A,Cessna Citation CJ2
CNJ,C25B,Cessna Citation CJ3
CNJ,C25C,Cessna Citation CJ4
CNJ,C500,Cessna Citation I
CNJ,C510,Cessna Citation Mustang
CNJ,C525,Cessna CitationJet
CNJ,C550,Cessna Citation II
CNJ,C560,Cessna Citation V
CNJ,C56X,Cessna Citation Excel
CNJ,C650,"Cessna Citation III , VI , VII"
CNJ,C680,Cessna Citation Sovereign
CNJ,C750,Cessna Citation X
CNT,F406,Reims-Cessna F406 Caravan II
CR1,CRJ1,Canadair Regional Jet 100
CR2,CRJ2,Canadair Regional Jet 200
CR7,CRJ7,Canadair Regional Jet 700 | Regional Jet 550
CR9,CRJ9,Canadair Regional Jet 900
CRK,CRJX,Canadair Regional Jet 1000
CRV,S210,Aerospatiale (Sud Aviation) Se.210 Caravelle
CS2,C212,CASA / IPTN 212 Aviocar
CS5,CN35,CASA/IPTN CN-235
CV4,CVLP,Convair CV-240 & -440
CV5,CVLT,"Convair CV-580, Convair CV-600, Convair CV-640"
CWC,C46,Curtiss C-46 Commando
D11,DC10,Douglas DC-10-10 / -15 Passenger
D1C,DC10,Douglas DC-10-30 / -40 Passenger
D1M,DC10,Douglas DC-10-30 Combi
D1X,DC10,Douglas DC-10-10 Freighter
D1Y,DC10,Douglas DC-10-30 / -40 Freighter
D20,F2TH,Dassault Falcon 2000
D28,D228,Fairchild Dornier Do.228
D38,D328,Fairchild Dornier Do.328
D3F,DC3,Douglas DC-3
D6F,DC6,Douglas DC-6
D8L,DC86,Douglas DC-8-62
D8Q,DC87,Douglas DC-8-72
D8T,DC85,Douglas DC-8-50
D91,DC91,Douglas DC-9-10
D92,DC92,Douglas DC-9-20
